"","Year","Area","Street","Street.2"
"123",2011,"Birmingham","Longmeadowcrescentshardendbham",NA
"124",2011,"Birmingham","Maccadownlane",NA
"125",2011,"Birmingham","Masshouselane",NA
"126",2011,"Birmingham","Meadwaymstechford",NA
"127",2011,"Birmingham","Mickleoverroadbromford",NA
"128",2011,"Birmingham","Moorcroftroad",NA
"129",2011,"Birmingham","Moseleyroad",NA
"130",2011,"Birmingham","Moseleyroad",NA
"131",2011,"Birmingham","Moseleyroad",NA
"132",2011,"Birmingham","Moseleyroad",NA
"133",2011,"Birmingham","Moseleyvillage",NA
"134",2011,"Birmingham","Moseleyvillage",NA
"135",2011,"Birmingham","Moseleyvillagealcesterroad",NA
"136",2011,"Birmingham","Mosleyallservicesclubchurchroadmoseley",NA
"137",2011,"Birmingham","Nearlandsclosequinton",NA
"138",2011,"Birmingham","Newstreet",NA
"139",2011,"Birmingham","Northfieldhighstreet",NA
"140",2011,"Birmingham","O/SBEHANSHIGHFIELDROADBILLESLEY",NA
"141",2011,"Birmingham","O/SThejunctionMosleyVillage",NA
"142",2011,"Birmingham","O/SWashwoodHeathroad",NA
"143",2011,"Birmingham","Oakhillroadacocksgreen",NA
"144",2011,"Birmingham","Oppwhitehartlanecookslane",NA
"145",2011,"Birmingham","Oppositealdistratfordroad",NA
"146",2011,"Birmingham","Outsidejavaloungealcesterroad",NA
"147",2011,"Birmingham","Outsideo2academynightclubb'hamCityCentre",NA
"148",2011,"Birmingham","Outsideravenpublichouse",NA
"149",2011,"Birmingham","Packingtonavenueshardend",NA
"150",2011,"Birmingham","Parkoffhobmoorroad",NA
"151",2011,"Birmingham","Parkhallcroft",NA
"152",2011,"Birmingham","Peartreeph",NA
"153",2011,"Birmingham","Policestation",NA
"154",2011,"Birmingham","Policestationstechford",NA
"155",2011,"Birmingham","Poplarroad",NA
"156",2011,"Birmingham","Poplarroad",NA
"157",2011,"Birmingham","Poplarroadsolihull",NA
"158",2011,"Birmingham","Poplarroadsolihull",NA
"159",2011,"Birmingham","Prestonroad",NA
"160",2011,"Birmingham","Prioryroadhallgreen",NA
"161",2011,"Birmingham","Prospectroad",NA
"162",2011,"Birmingham","Queenswoodroad",NA
"163",2011,"Birmingham","Rearofbootshighstreet",NA
"164",2011,"Birmingham","Reddingslanetsyley",NA
"165",2011,"Birmingham","Richmondprimarycarecentrerichmondroadstechford",NA
"166",2011,"Birmingham","Ringroadstourbridge",NA
"167",2011,"Birmingham","Sainsburyswawrickroad",NA
"168",2011,"Birmingham","Sainsburysalcesterroadsouth",NA
"169",2011,"Birmingham","Sandfordroadmoseley",NA
"170",2011,"Birmingham","Sareholemill",NA
"171",2011,"Birmingham","Sedgemereroad",NA
"172",2011,"Birmingham","Shirleyroad",NA
"173",2011,"Birmingham","Shirleyroad",NA
"174",2011,"Birmingham","Snowhill",NA
"175",2011,"Birmingham","Solihulllane",NA
"176",2011,"Birmingham","Stmary'sRoadMoseley",NA
"177",2011,"Birmingham","Stmarysrow",NA
"178",2011,"Birmingham","Stationroad",NA
"179",2011,"Birmingham","Stationwaybirminghaminternationalrailstation",NA
"180",2011,"Birmingham","Stechfordfrontoffice",NA
"181",2011,"Birmingham","Stechfordps",NA
"182",2011,"Birmingham","Stechfordretailpark",NA
"183",2011,"Birmingham","Stonehengecroftdruidsheath",NA
"184",2011,"Birmingham","Stoneylane",NA
"185",2011,"Birmingham","Stoneylane",NA
"186",2011,"Birmingham","Stoneylane",NA
"187",2011,"Birmingham","Stratfordheathsparkhillbirmingham",NA
"188",2011,"Birmingham","Stratfordroad",NA
"189",2011,"Birmingham","Stratfordroad",NA
"190",2011,"Birmingham","Stratfordroad",NA
"191",2011,"Birmingham","Stratfordroadhallgreen",NA
"192",2011,"Birmingham","Stratfordroads",NA
"193",2011,"Birmingham","Stuartroadstechford",NA
"194",2011,"Birmingham","Talbortstreet",NA
"195",2011,"Birmingham","Tauntonroad",NA
"196",2011,"Birmingham","Tavistockroad",NA
"197",2011,"Birmingham","Theavenue",NA
"198",2011,"Birmingham","Thepaertreepub",NA
"199",2011,"Birmingham","Trafalgerroad",NA
"200",2011,"Birmingham","Wakegreenroad",NA
"201",2011,"Birmingham","Wardendroad",NA
"202",2011,"Birmingham","Warwickroad",NA
"203",2011,"Birmingham","Warwickroad",NA
"204",2011,"Birmingham","Warwickroad",NA
"205",2011,"Birmingham","Warwickroad",NA
"206",2011,"Birmingham","Warwickroad",NA
"207",2011,"Birmingham","Warwickroadtysley",NA
"208",2011,"Birmingham","Washlane",NA
"209",2011,"Birmingham","Washfordheathroad",NA
"210",2011,"Birmingham","Washwoodheathpub",NA
"211",2011,"Birmingham","Washwoodheathrdwashwoodheathbham",NA
"212",2011,"Birmingham","Washwoodheathroad",NA
"213",2011,"Birmingham","Washwoodheathroad",NA
"214",2011,"Birmingham","Washwoodheathroad",NA
"215",2011,"Birmingham","Washwoodheathroad",NA
"216",2011,"Birmingham","Waterylanemiddlewaybirmingham",NA
"217",2011,"Birmingham","Wawrickroad",NA
"218",2011,"Birmingham","Welshfarmroadquinton",NA
"219",2011,"Birmingham","Westleyroad",NA
"220",2011,"Birmingham","Westleyroadacocksgreen",NA
"221",2011,"Birmingham","Whitehartpublichouse",NA
"222",2011,"Birmingham","Whitehartpublichouse",NA
"223",2011,"Birmingham","Whiteheartpubgresselllane",NA
"224",2011,"Birmingham","Williamhillbookmakerswashwoodheathroad",NA
"225",2011,"Birmingham","Williamhillbookmakerswashwoodheathroad",NA
"226",2011,"Birmingham","Williamhillwashwoodheathroad",NA
"227",2011,"Birmingham","Windwardroad",NA
"228",2011,"Birmingham","Windwardroad",NA
"229",2011,"Birmingham","Woodendroaderdington",NA
"230",2011,"Birmingham","Woodbridgeroadmoseley",NA
"231",2011,"Birmingham","Wrightstreet",NA
"232",2011,"Birmingham","Yardleygreenroad",NA
"233",2011,"Birmingham","Yardleyroadacocksgreen",NA
"234",2011,"Birmingham","Yardleywoodroad",NA
"235",2011,"Birmingham","Yardleywoodroad",NA
"236",2011,"Birmingham","Yewtreecarpark",NA
"237",2011,"Birmingham","Yewtreelane",NA
"238",2011,"Birmingham","Yewtreepublichousecarpark",NA
"239",2011,"Birmingham","Armadapubsladeroaderdingtonbirmingham",NA
"240",2011,"Birmingham","Armardapubgravellyhill",NA
"241",2011,"Birmingham","Armardapubgravellyhill",NA
"242",2011,"Birmingham","Badgersbankroad",NA
"243",2011,"Birmingham","Baldmoorlakeroaderdingtonbirmingham",NA
"244",2011,"Birmingham","Bandywoodrdkingstanding",NA
"245",2011,"Birmingham","Beckenhamroad",NA
"246",2011,"Birmingham","Beecheswalk",NA
"247",2011,"Birmingham","Birminghamrd",NA
"248",2011,"Birmingham","Birminghamrd",NA
"249",2011,"Birmingham","Birminghamrdsc",NA
"250",2011,"Birmingham","Birminghamroad",NA
"251",2011,"Birmingham","Birminghamroad",NA
"252",2011,"Birmingham","Birminghamroadsutton",NA
"253",2011,"Birmingham","Birminghamroaderdington",NA
"254",2011,"Birmingham","Birminghamroadsuttoncoldfield",NA
"255",2011,"Birmingham","Birminghamroadsuttoncoldfield",NA
"256",2011,"Birmingham","Bowlinggreenclose",NA
"257",2011,"Birmingham","Bracebridgeroaderdington",NA
"258",2011,"Birmingham","Brassingtonavenue",NA
"259",2011,"Birmingham","Bromfordlane",NA
"260",2011,"Birmingham","Bromfordlaneerdingtonb'ham",NA
"261",2011,"Birmingham","Brookvaleparkroad",NA
"262",2011,"Birmingham","Carhamptonroadfalconlodgesuttoncolfield",NA
"263",2011,"Birmingham","Carshaltonroad",NA
"264",2011,"Birmingham","Carshorltonroad",NA
"265",2011,"Birmingham","Chesterrd",NA
"266",2011,"Birmingham","Chesterroad",NA
"267",2011,"Birmingham","Chesterroadhallsgardencentre",NA
"268",2011,"Birmingham","Churchrdatchesterrd",NA
"269",2011,"Birmingham","Collegeroadkingstandingb'ham",NA
"270",2011,"Birmingham","Collegeroadkingstandingb'ham",NA
"271",2011,"Birmingham","Copshillcourtmountviewsuttoncoldfield",NA
"272",2011,"Birmingham","Dovedaleroaderdingtonb'ham",NA
"273",2011,"Birmingham","Downsideroaderdingtonb'ham",NA
"274",2011,"Birmingham","Eachelhurtroaderdington",NA
"275",2011,"Birmingham","Erdingtonhallroad",NA
"276",2011,"Birmingham","Erdingtonhallroad",NA
"277",2011,"Birmingham","Erdingtonhighstreet",NA
"278",2011,"Birmingham","Fenthamroaderdingtonb'ham",NA
"279",2011,"Birmingham","Finchleyroad",NA
"280",2011,"Birmingham","Finchleyroadkingstandingb'ham",NA
"281",2011,"Birmingham","Georgefrederickroad",NA
"282",2011,"Birmingham","Goldenpondtakeawayboldmereroad",NA
"283",2011,"Birmingham","Goodhopehospital",NA
"284",2011,"Birmingham","Gracechurchcentre",NA
"285",2011,"Birmingham","Gracechurchcentreoutsidesupercigs",NA
"286",2011,"Birmingham","Gracechurchshoppingcentresuttoncoldfield",NA
"287",2011,"Birmingham","Grassedareapypehayespark",NA
"288",2011,"Birmingham","Gravelleylane",NA
"289",2011,"Birmingham","Gravelleylane",NA
"290",2011,"Birmingham","Gravelleylane",NA
"291",2011,"Birmingham","Gravellylaneerdingtonbirmingham",NA
"292",2011,"Birmingham","Hairylemonpubsuttoncoldfield",NA
"293",2011,"Birmingham","Hairylemonpubsuttoncoldfield",NA
"294",2011,"Birmingham","Hermatigeroad",NA
"295",2011,"Birmingham","Hermatigeroad",NA
"296",2011,"Birmingham","Hermitagedrive",NA
"297",2011,"Birmingham","Highstreet",NA
"298",2011,"Birmingham","Highstreeterdington",NA
"299",2011,"Birmingham","Highstreeterdington",NA
"300",2011,"Birmingham","Highstreeterdington",NA
"301",2011,"Birmingham","Highstreets/C",NA
"302",2011,"Birmingham","Highstreets/C",NA
"303",2011,"Birmingham","Hightsterdington",NA
"304",2011,"Birmingham","Huntonhill",NA
"305",2011,"Birmingham","Kfcretailoutleterdingtonhighstreet",NA
"306",2011,"Birmingham","Kingsburyroaderdingtonb'ham",NA
"307",2011,"Birmingham","Kingstandingcircle",NA
"308",2011,"Birmingham","Ladywellwalkbirmingham",NA
"309",2011,"Birmingham","Landsdownroad",NA
"310",2011,"Birmingham","Lichfieldroadmeregreen",NA
"311",2011,"Birmingham","Lichfieldroadsuttoncoldfield",NA
"312",2011,"Birmingham","Lindridgeroadsuttoncoldfield",NA
"313",2011,"Birmingham","Littleastonlane",NA
"314",2011,"Birmingham","Longfordroad",NA
"315",2011,"Birmingham","Longfordroadkingstandingb'ham",NA
"316",2011,"Birmingham","Lowerparade",NA
"317",2011,"Birmingham","Lowerparade",NA
"318",2011,"Birmingham","Lowerparade",NA
"319",2011,"Birmingham","Lowerparade",NA
"320",2011,"Birmingham","Lowerparade",NA
"321",2011,"Birmingham","Lowerparade",NA
"322",2011,"Birmingham","Lowerparade",NA
"323",2011,"Birmingham","Lowerparade",NA
"324",2011,"Birmingham","Lowerparade",NA
"325",2011,"Birmingham","Lowerparade",NA
"326",2011,"Birmingham","Lowerparade",NA
"327",2011,"Birmingham","Lowerparade",NA
"328",2011,"Birmingham","Lowerparade",NA
"329",2011,"Birmingham","Lowerparade",NA
"330",2011,"Birmingham","Lowerparade",NA
"331",2011,"Birmingham","Lowerparade",NA
"332",2011,"Birmingham","Lowerparade",NA
"333",2011,"Birmingham","Lowerparade",NA
"334",2011,"Birmingham","Lowerparade",NA
"335",2011,"Birmingham","Lowerparadesc",NA
"336",2011,"Birmingham","Lowerparadesutton",NA
"337",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"338",2011,"Birmingham","Lowerparade",NA
"339",2011,"Birmingham","Lowerparadesutoncoldfield",NA
"340",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"341",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"342",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"343",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"344",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"345",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"346",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"347",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"348",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"349",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"350",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"351",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"352",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"353",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"354",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"355",2011,"Birmingham","Lowerparadesuttoncoldfieldtowncentre",NA
"356",2011,"Birmingham","Lowerparadesuttoncoldfieldtowncentre",NA
"357",2011,"Birmingham","Lowerparadesuttoncoldfield",NA
"358",2011,"Birmingham","Lydhamclose",NA
"359",2011,"Birmingham","Millstreet",NA
"360",2011,"Birmingham","Millstreetsuttoncoldfield",NA
"361",2011,"Birmingham","Moorhallhotel",NA
"362",2011,"Birmingham","Mulberrycourtcarparkkingsroadkingstandingbirmingham",NA
"363",2011,"Birmingham","Newhallwalkcarpark",NA
"364",2011,"Birmingham","Newhallwalkcarpark",NA
"365",2011,"Birmingham","O/SH/A",NA
"366",2011,"Birmingham","O/sLittenTree",NA
"367",2011,"Birmingham","O/SLittenTreeS/CTownCentre",NA
"368",2011,"Birmingham","O/SMooMooBarS/cTownCentre",NA
"369",2011,"Birmingham","o/smoomoobarSouthparade",NA
"370",2011,"Birmingham","o/sretro",NA
"371",2011,"Birmingham","O/SRetroSouthparade",NA
"372",2011,"Birmingham","O/SRetros",NA
"373",2011,"Birmingham","O/SRoyalHotelLichfieldRoad",NA
"374",2011,"Birmingham","o/stemplebar",NA
"375",2011,"Birmingham","O/STempleBar",NA
"376",2011,"Birmingham","O/STempleBarHighStreet",NA
"377",2011,"Birmingham","O/sTempleBarLowerParadeSuttonColdfield",NA
"378",2011,"Birmingham","O/STempleBarS/CTownCentre",NA
"379",2011,"Birmingham","o/stemplebarsuttoncoldfieldwestmilands",NA
"380",2011,"Birmingham","o/sthehairylemon",NA
"381",2011,"Birmingham","Onpavementoutsidetheroyalhotel",NA
"382",2011,"Birmingham","Ourtsideroyalpublichfieldroadsuttoncoldfield",NA
"383",2011,"Birmingham","Outsideglendaletowerlyndhurstestate",NA
"384",2011,"Birmingham","Outsidelittentreepubbirminghamroadsuttoncoldfield",NA
"385",2011,"Birmingham","Outsidemoomooclubtowncentresuttoncoldfield",NA
"386",2011,"Birmingham","Outsidemoomoonightclubsouthparade",NA
